fdc_id,name,source_type,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_mg_100g
326698,"Mustard, prepared, yellow",foundation_food,254.0,4.25,5.3,3.38,4.3,1100.0
327357,"Nectarines, raw",foundation_food,39.0,1.06,9.18,0.28,1.5,13.0
323294,"Nuts, almonds, dry roasted, with salt added",foundation_food,620.0,20.4,16.2,57.8,11.0,256.0
330458,"Oil, coconut",foundation_food,833.0,0.0,0.84,99.1,,0.0
332791,"Olives, green, Manzanilla, stuffed with pimiento",foundation_food,130.0,1.15,4.96,12.9,4.0,1620.0
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",foundation_food,1210.0,4.52,36.3,14.4,2.4,374.0
790577,"Onions, red, raw",foundation_food,44.0,0.94,9.93,0.1,2.2,1.0
1104962,"Onions, white, raw",foundation_food,35.0,0.89,7.68,0.13,1.2,2.0
790646,"Onions, yellow, raw",foundation_food,160.0,0.83,8.61,0.05,1.9,1.0
746771,"Oranges, raw, navels",foundation_food,196.0,0.91,11.8,0.15,2.0,9.0
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",foundation_food,196.0,0.91,11.8,0.15,2.0,9.0
325430,"Peaches, yellow, raw",foundation_food,174.0,0.91,10.1,0.27,1.5,13.0
324860,"Peanut butter, smooth style, with salt",foundation_food,2500.0,22.5,22.3,51.1,4.8,429.0
746773,"Pears, raw, bartlett",foundation_food,238.0,0.38,15.1,0.16,3.1,7.0
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",foundation_food,57.0,0.38,15.1,0.16,3.1,7.0
324653,"Pickles, cucumber, dill or kosher dill",foundation_food,12.0,0.48,1.99,0.43,1.0,808.0
749420,"Pork, cured, bacon, cooked, restaurant",foundation_food,2090.0,40.9,2.1,36.5,,1830.0
334536,"Restaurant, Chinese, fried rice, without meat",foundation_food,174.0,3.84,32.5,3.19,,361.0
746774,"Restaurant, Chinese, sweet and sour pork",foundation_food,260.0,8.88,25.5,13.6,1.0,304.0
334462,"Restaurant, Chinese, sweet and sour pork",foundation_food,260.0,8.88,25.5,13.6,1.0,304.0
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",foundation_food,229.0,5.59,31.5,9.01,5.8,305.0
334628,"Restaurant, Latino, tamale, pork",foundation_food,728.0,7.38,15.8,9.04,2.4,473.0
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",foundation_food,45.0,1.41,8.05,1.48,1.8,419.0
324038,"Sauce, salsa, ready-to-serve",foundation_food,29.0,1.44,6.74,0.19,1.8,656.0
746777,"Sauce, salsa, ready-to-serve",foundation_food,122.0,1.44,6.74,0.19,1.8,656.0
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",foundation_food,322.0,18.2,2.15,26.2,,766.0
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",foundation_food,322.0,18.2,2.15,26.2,,766.0
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",foundation_food,1370.0,13.3,3.37,28.7,,866.0
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",foundation_food,328.0,13.3,3.37,28.7,,866.0
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",foundation_food,346.0,19.3,2.63,28.1,,983.0
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",foundation_food,1450.0,19.3,2.63,28.1,,983.0
746783,"Sausage, turkey, breakfast links, mild, raw",foundation_food,706.0,16.7,0.93,10.4,,599.0
325992,"Sausage, turkey, breakfast links, mild, raw",foundation_food,169.0,16.7,0.93,10.4,,599.0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",foundation_food,2560.0,21.0,17.1,56.1,10.3,532.0
747448,"Strawberries, raw",foundation_food,132.0,0.64,7.63,0.22,1.8,10.0
327699,"Strawberries, raw",foundation_food,132.0,0.64,7.63,0.22,1.8,10.0
746784,"Sugars, granulated",foundation_food,385.0,0.0,99.6,0.32,,1.0
334247,"Sugars, granulated",foundation_food,385.0,0.0,99.6,0.32,,1.0
333281,"Tomatoes, canned, red, ripe, diced",foundation_food,76.0,0.84,3.32,0.5,,125.0
321360,"Tomatoes, grape, raw",foundation_food,113.0,0.83,5.51,0.63,2.1,6.0
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",foundation_food,922.0,27.1,0.0,11.6,,90.0
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",foundation_food,922.0,27.1,0.0,11.6,,90.0
330137,"Yogurt, Greek, plain, nonfat",foundation_food,61.0,10.3,3.64,0.37,,36.0
330415,"Yogurt, Greek, strawberry, nonfat",foundation_food,347.0,8.06,12.2,0.15,0.6,32.0
